Du,Dd,Fu_Nq,Fd_Nq,Fu_NEvents,Fd_NEvents,Du_out,Dd_out,Fu_Nq_out,Fd_Nq_out,Fu_NEvents_out,Fd_NEvents_out,Du_in,Dd_in,Fu_Nq_in,Fd_Nq_in,Fu_NEvents_in,Fd_NEvents_in,Du_notIN,Dd_notIN,Fu_Nq_notIN,Fd_Nq_notIN,Fu_NEvents_notIN,Fd_NEvents_notIN,Du_notOUT,Dd_notOUT,Fu_Nq_notOUT,Fd_Nq_notOUT,Fu_NEvents_notOUT,Fd_NEvents_notOUT
-1.0,-1.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.5555555555555556,-1.0,-1.0,0.5555555555555556,0.4444444444444444,0.5555555555555556,0.4444444444444444,-1.0,-1.0,0.5,0.5,0.5,0.5
-1.0,-1.0,0.3,0.7,0.2727272727272727,0.6363636363636364,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.5,0.5,0.5,0.5,-1.0,-1.0,0.25,0.75,0.2222222222222222,0.6666666666666666,-1.0,-1.0,0.3333333333333333,0.6666666666666666,0.3,0.6
-1.0,-1.0,0.17391304347826086,0.8260869565217391,0.17391304347826086,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.6,0.4,0.6,0.4,-1.0,-1.0,0.05555555555555555,0.9444444444444444,0.05555555555555555,0.9444444444444444,-1.0,-1.0,0.17391304347826086,0.8260869565217391,0.17391304347826086,0.8260869565217391
-1.0,-0.8,0.4117647058823529,0.5882352941176471,0.3684210526315789,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.25,0.75,0.25,0.75,-1.0,-0.7142857142857143,0.46153846153846156,0.5384615384615384,0.4,0.4666666666666667,-1.0,-0.8,0.4117647058823529,0.5882352941176471,0.3684210526315789,0.5263157894736842
-1.0,-1.0,0.13636363636363635,0.8636363636363636,0.125,0.7916666666666666,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.14285714285714285,0.8571428571428571,0.13043478260869565,0.782608695652174,-1.0,-1.0,0.14285714285714285,0.8571428571428571,0.13043478260869565,0.782608695652174
-0.6,-1.0,0.23809523809523808,0.7619047619047619,0.23809523809523808,0.7619047619047619,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,-0.5,-1.0,0.2222222222222222,0.7777777777777778,0.2222222222222222,0.7777777777777778,-0.6,-1.0,0.25,0.75,0.25,0.75
-1.0,-1.0,0.17391304347826086,0.8260869565217391,0.16666666666666666,0.7916666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.8,-1.0,-1.0,0.21052631578947367,0.7894736842105263,0.21052631578947367,0.7894736842105263,-1.0,-1.0,0.17391304347826086,0.8260869565217391,0.16666666666666666,0.7916666666666666
-1.0,-1.0,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.25,0.75,0.25,0.75,-1.0,-1.0,0.3,0.7,0.3,0.7,-1.0,-1.0,0.29411764705882354,0.7058823529411765,0.29411764705882354,0.7058823529411765
-1.0,-1.0,0.17857142857142858,0.7857142857142857,0.17857142857142858,0.7857142857142857,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,0.18518518518518517,0.7777777777777778,0.18518518518518517,0.7777777777777778,-1.0,-1.0,0.18518518518518517,0.7777777777777778,0.18518518518518517,0.7777777777777778
-1.0,-1.0,0.2631578947368421,0.7368421052631579,0.25,0.7,-1.0,-1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,-1.0,-1.0,0.25,0.75,0.25,0.75,-1.0,-1.0,0.2641509433962264,0.7358490566037735,0.25,0.6964285714285714,-1.0,-1.0,0.24074074074074073,0.7592592592592593,0.22807017543859648,0.7192982456140351
