Du,Dd,Fu_Nq,Fd_Nq,Fu_NEvents,Fd_NEvents,Du_out,Dd_out,Fu_Nq_out,Fd_Nq_out,Fu_NEvents_out,Fd_NEvents_out,Du_in,Dd_in,Fu_Nq_in,Fd_Nq_in,Fu_NEvents_in,Fd_NEvents_in,Du_notIN,Dd_notIN,Fu_Nq_notIN,Fd_Nq_notIN,Fu_NEvents_notIN,Fd_NEvents_notIN,Du_notOUT,Dd_notOUT,Fu_Nq_notOUT,Fd_Nq_notOUT,Fu_NEvents_notOUT,Fd_NEvents_notOUT
-0.95822454308094,-0.989159891598916,0.25482368596141053,0.7365269461077845,0.25,0.7225848563968669,-1.0,-1.0,0.10526315789473684,0.8947368421052632,0.09523809523809523,0.8095238095238095,-0.968503937007874,-0.9936507936507937,0.2853932584269663,0.7078651685393258,0.2809734513274336,0.6969026548672567,-0.953125,-0.9873737373737373,0.24196597353497165,0.7485822306238186,0.23703703703703705,0.7333333333333333,-0.958005249343832,-0.9889908256880734,0.25673854447439354,0.7345013477088949,0.25215089344804764,0.7213765718067505
-0.95,-0.9849372384937238,0.23003194888178913,0.7635782747603834,0.22485946283572766,0.7464084946908183,-1.0,-1.0,0.21428571428571427,0.7857142857142857,0.20689655172413793,0.7586206896551724,-0.9811320754716981,-0.992831541218638,0.27249357326478146,0.7172236503856041,0.26903553299492383,0.7081218274111675,-0.937007874015748,-0.982532751091703,0.21598639455782312,0.7789115646258503,0.2104391052195526,0.7589063794531897,-0.9491525423728814,-0.9846547314578005,0.23031880286271958,0.7631750162654521,0.22519083969465647,0.7461832061068703
-0.9588688946015425,-0.9798350137488543,0.2612491605104097,0.732706514439221,0.25676567656765675,0.7201320132013201,-1.0,-1.0,0.13636363636363635,0.8636363636363636,0.13636363636363635,0.8636363636363636,-0.9807692307692307,-0.9821428571428571,0.31419939577039274,0.676737160120846,0.3123123123123123,0.6726726726726727,-0.9508771929824561,-0.9792387543252595,0.24611398963730569,0.7487046632124352,0.24111675126903553,0.733502538071066,-0.9585492227979274,-0.9794776119402985,0.2631220177232447,0.7307430129516019,0.25853985264567986,0.7180174146014735
-0.9168831168831169,-0.9878472222222222,0.24838709677419354,0.743225806451613,0.24274905422446405,0.7263556116015133,-1.0,-0.9166666666666666,0.21875,0.75,0.21212121212121213,0.7272727272727273,-0.9759036144578314,-1.0,0.3333333333333333,0.6626506024096386,0.33067729083665337,0.6573705179282868,-0.9006622516556292,-0.9858156028368794,0.2321291314373559,0.7586471944657955,0.22621722846441947,0.7393258426966293,-0.9153439153439153,-0.9893617021276596,0.2490118577075099,0.7430830039525692,0.24339987121699935,0.7263361236316807
-0.9240506329113924,-0.9864750633981403,0.2485840151038389,0.7444933920704846,0.2448853068815871,0.7334159950402975,-1.0,-1.0,0.2962962962962963,0.7037037037037037,0.2962962962962963,0.7037037037037037,-0.9759036144578314,-1.0,0.36403508771929827,0.6359649122807017,0.36086956521739133,0.6304347826086957,-0.9102564102564102,-0.9845857418111753,0.2292432035268185,0.7626745040411462,0.22559652928416485,0.7505422993492408,-0.9224806201550387,-0.9862542955326461,0.24775928297055058,0.7451984635083226,0.24401008827238335,0.733921815889029
-0.9508599508599509,-0.9806138933764136,0.24621899576527526,0.7489413188142771,0.2396937573616019,0.7290930506478209,-1.0,-1.0,0.3684210526315789,0.631578947368421,0.3684210526315789,0.631578947368421,-1.0,-1.0,0.34854771784232363,0.6514522821576764,0.345679012345679,0.6460905349794238,-0.9380804953560371,-0.9777983348751156,0.22875354107648727,0.7655807365439093,0.2219931271477663,0.7429553264604811,-0.95,-0.9804241435562806,0.24479804161566707,0.7503059975520195,0.23823704586063132,0.730196545562835
-0.9443155452436195,-0.9845201238390093,0.248558246828143,0.7450980392156863,0.2425436128306134,0.727068092290377,-0.7142857142857143,-1.0,0.2692307692307692,0.7307692307692307,0.25925925925925924,0.7037037037037037,-1.0,-0.9866666666666667,0.3392070484581498,0.6607929515418502,0.3392070484581498,0.6607929515418502,-0.9322033898305084,-0.9842381786339754,0.23490378234903783,0.7577969475779694,0.22838709677419355,0.7367741935483871,-0.9481132075471698,-0.9842890809112333,0.24824355971896955,0.7453161592505855,0.2422857142857143,0.7274285714285714
-0.9559471365638766,-0.9909021986353298,0.25448430493273544,0.7393497757847534,0.24795193883123975,0.7203713817586018,-1.0,-1.0,0.18181818181818182,0.8181818181818182,0.18181818181818182,0.8181818181818182,-1.0,-0.9859154929577465,0.3409090909090909,0.6454545454545455,0.3393665158371041,0.6425339366515838,-0.9472295514511874,-0.9915038232795242,0.24232736572890026,0.7525575447570333,0.23540372670807452,0.731055900621118,-0.9555555555555556,-0.9907763259031515,0.25539160045402953,0.7383654937570943,0.24875621890547264,0.7191818684355997
-0.946611909650924,-0.9899352983465133,0.25753569539925963,0.7355896351136965,0.25051440329218105,0.7155349794238683,-1.0,-1.0,0.10526315789473684,0.8947368421052632,0.10526315789473684,0.8947368421052632,-1.0,-1.0,0.3449612403100775,0.6550387596899225,0.3423076923076923,0.65,-0.9346733668341709,-0.9885433715220949,0.24372320881812615,0.7483159828536436,0.23634204275534443,0.7256532066508313,-0.9463917525773196,-0.9898107714701602,0.2590811965811966,0.7339743589743589,0.2519480519480519,0.7137662337662337
-0.9166666666666666,-0.9811701412239409,0.2513715710723192,0.741645885286783,0.24383164005805516,0.7194000967585873,-0.8181818181818182,-1.0,0.39285714285714285,0.6071428571428571,0.39285714285714285,0.6071428571428571,-0.9807692307692307,-0.9672131147540983,0.3623693379790941,0.6376306620209059,0.3586206896551724,0.6310344827586207,-0.9,-0.9831288343558282,0.23282887077997672,0.7590221187427241,0.22509848058525606,0.7338210467079347,-0.9188640973630832,-0.9809523809523809,0.24936772888214467,0.7435508345978755,0.24178518881804806,0.7209416380578715
