A_FB,A_C,A_in,A_out
1.0,-1.0,1.0,-1.0
0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-0.3333333333333333,-1.0,-0.3333333333333333,1.0
-0.14285714285714285,-0.42857142857142855,0.0,-0.2
-1.0,0.0,-1.0,0.0
-0.5,-1.0,0.3333333333333333,-1.0
0.2727272727272727,0.3333333333333333,-0.5,1.0
0.25,0.0,0.0,0.0
-0.25,-1.0,1.0,0.0
-0.09090909090909091,0.0,0.0,-0.3333333333333333
0.25,-1.0,0.5,0.0
-0.058823529411764705,0.0,0.3333333333333333,-0.3333333333333333
0.05555555555555555,-0.1282051282051282,-0.05154639175257732,-0.10526315789473684
0.27450980392156865,0.26666666666666666,-0.04081632653061224,-0.034482758620689655
0.02040816326530612,-0.07936507936507936,0.0625,-0.2413793103448276
0.07368421052631578,-0.08196721311475409,-0.03529411764705882,0.0
0.104,0.03896103896103896,0.03296703296703297,0.047619047619047616
-0.10948905109489052,0.07368421052631578,0.10679611650485436,-0.05454545454545454
0.11764705882352941,0.030303030303030304,0.008403361344537815,0.0196078431372549
0.07692307692307693,0.007518796992481203,0.056338028169014086,0.1111111111111111
-0.02631578947368421,-0.14473684210526316,-0.05945945945945946,0.04225352112676056
0.06493506493506493,0.03636363636363636,0.0,0.1282051282051282
0.203125,0.03571428571428571,-0.024154589371980676,0.06666666666666667
-0.14563106796116504,-0.05263157894736842,0.012195121951219513,-0.38461538461538464
0.09090909090909091,-0.06306306306306306,-0.015228426395939087,-0.21739130434782608
0.07017543859649122,-0.06,0.0,0.0
0.06976744186046512,-0.05982905982905983,-0.008928571428571428,0.0
0.1076923076923077,-0.02564102564102564,0.008849557522123894,0.09090909090909091
0.06976744186046512,-0.1206896551724138,0.0,-0.2222222222222222
0.005714285714285714,-0.01282051282051282,0.010676156583629894,0.043478260869565216
-0.08602150537634409,-0.017964071856287425,-0.01730103806228374,0.09090909090909091
-0.06040268456375839,-0.0070921985815602835,0.01282051282051282,-0.007633587786259542
-0.2,0.0136986301369863,0.007407407407407408,-0.2
-0.046153846153846156,0.22580645161290322,0.0,0.0
0.21518987341772153,0.013333333333333334,0.006993006993006993,-0.2
0.0,0.10810810810810811,0.006896551724137931,-1.0
-0.12871287128712872,0.07368421052631578,-0.010869565217391304,-0.5
0.02127659574468085,-0.16853932584269662,0.0,-1.0
-0.04950495049504951,-0.21649484536082475,-0.005291005291005291,-0.5
-0.04672897196261682,-0.18446601941747573,0.015873015873015872,-0.45454545454545453
-0.058823529411764705,-0.04225352112676056,0.014925373134328358,0.046511627906976744
-0.16455696202531644,0.13157894736842105,-0.15384615384615385,0.061224489795918366
0.07692307692307693,-0.1875,0.015873015873015872,-1.0
0.0967741935483871,0.2631578947368421,-0.028037383177570093,0.6
0.14285714285714285,-0.061224489795918366,0.0,0.0
-0.10144927536231885,0.18840579710144928,0.0,-0.3333333333333333
-0.03571428571428571,0.1320754716981132,0.02912621359223301,0.0
-0.046153846153846156,0.11475409836065574,0.016666666666666666,0.2
-0.175,-0.02564102564102564,-0.0136986301369863,0.14285714285714285
0.09302325581395349,-0.09523809523809523,0.05714285714285714,-0.25925925925925924
0.0,-0.07317073170731707,0.08045977011494253,-0.08108108108108109
-0.043478260869565216,-0.12195121951219512,0.1111111111111111,0.0
0.023255813953488372,-0.11627906976744186,0.012048192771084338,-1.0
-0.22727272727272727,-0.023255813953488372,0.012048192771084338,0.3333333333333333
0.5555555555555556,0.02857142857142857,-0.014925373134328358,0.0
0.20833333333333334,0.23404255319148937,0.01098901098901099,0.0
0.06666666666666667,-0.18181818181818182,0.011494252873563218,-1.0
-0.11538461538461539,0.10204081632653061,-0.02040816326530612,1.0
-0.23076923076923078,-0.015873015873015872,-0.02564102564102564,0.1111111111111111
-0.05454545454545454,-0.01818181818181818,0.011494252873563218,-0.043478260869565216
