A_FB,A_C,A_in,A_out
1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
-0.5,0.3333333333333333,-1.0,0.0
0.8,0.0,-0.6,1.0
0.2,1.0,0.3333333333333333,0.0
0.7142857142857143,-0.3333333333333333,0.0,0.3333333333333333
0.0,0.3333333333333333,0.0,1.0
0.25,-0.3333333333333333,0.0,0.0
0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,-0.5
-0.2222222222222222,0.0,0.42857142857142855,0.0
0.125,-0.2,-0.3333333333333333,1.0
0.015873015873015872,-0.030303030303030304,-0.031746031746031744,-0.02857142857142857
-0.11538461538461539,-0.10144927536231885,0.07368421052631578,0.06666666666666667
0.02912621359223301,-0.043478260869565216,0.009900990099009901,0.07142857142857142
-0.008695652173913044,0.1951219512195122,0.0,0.05
0.007751937984496124,0.20512820512820512,-0.06306306306306306,0.2857142857142857
-0.008130081300813009,0.04878048780487805,-0.012048192771084338,-0.02127659574468085
-0.19708029197080293,0.0,-0.06329113924050633,-0.07692307692307693
-0.15,-0.009900990099009901,-0.024793388429752067,-0.07407407407407407
-0.010101010101010102,0.14685314685314685,0.006289308176100629,-0.08771929824561403
-0.00980392156862745,0.07586206896551724,-0.04950495049504951,0.16981132075471697
-0.03333333333333333,0.10476190476190476,-0.030303030303030304,0.6923076923076923
0.05454545454545454,0.08737864077669903,0.04395604395604396,-0.2631578947368421
0.053763440860215055,-0.09523809523809523,0.019867549668874173,-0.5384615384615384
-0.10344827586206896,-0.1794871794871795,0.013333333333333334,-0.6
0.10714285714285714,0.0297029702970297,0.016216216216216217,-0.2
0.03571428571428571,0.0392156862745098,-0.005128205128205128,0.0
0.17355371900826447,0.125,0.00980392156862745,-0.2
-0.02564102564102564,0.07042253521126761,-0.011857707509881422,-0.043478260869565216
-0.015873015873015872,0.046511627906976744,-0.03754266211604096,0.05555555555555555
-0.013333333333333334,0.050359712230215826,0.006535947712418301,-0.01694915254237288
0.17073170731707318,0.02631578947368421,0.013888888888888888,0.5
-0.11827956989247312,0.12643678160919541,-0.01775147928994083,0.6666666666666666
-0.033707865168539325,0.03529411764705882,0.0,-0.2
-0.2289156626506024,-0.05,0.01282051282051282,-1.0
-0.16216216216216217,0.0,0.022222222222222223,0.14285714285714285
-0.14285714285714285,-0.011494252873563218,0.011764705882352941,0.0
-0.050505050505050504,0.011235955056179775,0.0,0.5
-0.033707865168539325,-0.04878048780487805,-0.020134228187919462,0.29411764705882354
-0.13846153846153847,0.04132231404958678,0.0,0.0379746835443038
0.08641975308641975,0.13157894736842105,-0.061224489795918366,0.04081632653061224
-0.2,0.25925925925925924,-0.010309278350515464,-0.3333333333333333
-0.01639344262295082,0.13333333333333333,0.0,-0.14285714285714285
0.02857142857142857,-0.08571428571428572,0.0,0.0
0.18181818181818182,0.03125,-0.008,0.0
-0.2413793103448276,0.017543859649122806,0.0,0.0
-0.038461538461538464,-0.13725490196078433,-0.02040816326530612,1.0
-0.06060606060606061,-0.16129032258064516,0.01639344262295082,-0.6666666666666666
0.10843373493975904,-0.10256410256410256,0.06153846153846154,-0.13333333333333333
0.14285714285714285,-0.08196721311475409,0.014925373134328358,-0.017543859649122806
0.24,-0.22448979591836735,0.3076923076923077,-0.13846153846153847
-0.23076923076923078,0.10526315789473684,-0.02631578947368421,1.0
0.15789473684210525,-0.1111111111111111,0.0,0.0
0.17073170731707318,-0.07317073170731707,0.0,0.0
0.017543859649122806,-0.2962962962962963,0.009345794392523364,1.0
-0.2413793103448276,-0.35714285714285715,0.0,0.0
-0.0196078431372549,0.0,0.0,0.3333333333333333
0.061224489795918366,0.08333333333333333,0.012658227848101266,-0.058823529411764705
-0.017543859649122806,-0.15789473684210525,0.15384615384615385,-0.3333333333333333
-0.038461538461538464,-0.0196078431372549,0.018867924528301886,-0.02127659574468085
0.07692307692307693,0.23076923076923078,-0.3333333333333333,0.14285714285714285
0.05555555555555555,0.0,-0.014084507042253521,0.0
-0.42857142857142855,-0.18518518518518517,0.038461538461538464,-1.0
-0.043478260869565216,0.17391304347826086,-0.01098901098901099,1.0
0.16666666666666666,0.0,0.014084507042253521,-1.0
-0.043478260869565216,-0.045454545454545456,0.0,0.0
0.125,-0.2903225806451613,0.034482758620689655,-0.5
0.4,-0.13333333333333333,0.16666666666666666,-0.6666666666666666
0.13725490196078433,0.04,-0.0967741935483871,0.15789473684210525
0.1,0.05263157894736842,-0.07692307692307693,0.08108108108108109
0.4,0.3333333333333333,-1.0,0.0
-0.3333333333333333,0.14285714285714285,0.0,0.0
0.0,-0.14285714285714285,0.0,0.0
0.5833333333333334,0.0,0.0,0.0
-0.25925925925925924,-0.18518518518518517,0.0,0.0
0.0,0.2,-0.02564102564102564,1.0
-0.12,-0.043478260869565216,-0.07317073170731707,0.7142857142857143
0.23809523809523808,-0.2,0.07692307692307693,-0.14285714285714285
-0.3,0.1,-0.12,0.2
0.29411764705882354,-0.125,0.125,-0.058823529411764705
0.6,0.42857142857142855,0.0,0.0
-0.3333333333333333,0.3333333333333333,0.0,0.0
0.0,0.125,0.0,0.0
0.47368421052631576,0.15789473684210525,-0.02702702702702703,1.0
0.07692307692307693,0.23076923076923078,0.04,-1.0
0.06666666666666667,0.2,-0.07142857142857142,1.0
-0.2727272727272727,-0.09090909090909091,0.1111111111111111,-0.5
0.0,0.0,0.1,-0.5
-0.047619047619047616,0.14285714285714285,-0.15384615384615385,0.25
-0.25,0.0,-0.06666666666666667,0.058823529411764705
1.0,0.0,0.0,0.3333333333333333
0.14285714285714285,-0.42857142857142855,0.0,0.0
0.2,-0.3333333333333333,0.0,0.0
-0.5555555555555556,-0.1111111111111111,0.0,0.0
0.45454545454545453,0.2727272727272727,-0.047619047619047616,1.0
0.3333333333333333,0.3333333333333333,-0.058823529411764705,1.0
-0.1111111111111111,0.3333333333333333,-0.16666666666666666,0.3333333333333333
-0.14285714285714285,-0.14285714285714285,0.047619047619047616,-0.14285714285714285
0.6666666666666666,-0.16666666666666666,0.16666666666666666,-0.16666666666666666
-0.1111111111111111,0.25,-0.25,0.3333333333333333
1.0,0.0,0.0,0.3333333333333333
0.38461538461538464,0.07692307692307693,0.0,0.0
-0.058823529411764705,-0.4117647058823529,0.0,0.0
-0.2,-0.2,-0.05263157894736842,1.0
-0.6666666666666666,0.0,0.09090909090909091,-1.0
0.45454545454545453,0.09090909090909091,-0.125,0.6
-0.09090909090909091,-0.4,0.05263157894736842,0.0
-0.25,0.0,0.0,0.0
-0.3333333333333333,-0.1111111111111111,0.07692307692307693,-0.2
0.0,0.0,0.0,-0.2
0.3333333333333333,-0.3333333333333333,0.0,0.0
-0.5555555555555556,0.1111111111111111,0.058823529411764705,-1.0
-0.09090909090909091,-0.09090909090909091,0.047619047619047616,-1.0
-0.09090909090909091,0.2727272727272727,0.0,0.0
0.0,-0.6666666666666666,0.09090909090909091,-1.0
0.2,-0.2,0.1111111111111111,-1.0
-0.5,-1.0,0.3333333333333333,-1.0
0.42857142857142855,0.14285714285714285,-0.3333333333333333,0.6
-0.2857142857142857,-0.2857142857142857,0.058823529411764705,-0.09090909090909091
0.3333333333333333,1.0,-1.0,0.5
1.0,-1.0,1.0,-1.0
-0.3333333333333333,-1.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.3333333333333333,0.16666666666666666,-0.043478260869565216,1.0
0.42857142857142855,0.14285714285714285,0.16666666666666666,-1.0
-0.25,-0.25,0.0,0.3333333333333333
0.1111111111111111,-0.1111111111111111,0.14285714285714285,-0.5
-1.0,-1.0,0.3333333333333333,-1.0
-1.0,1.0,-1.0,1.0
-1.0,0.0,0.0,0.0
1.0,-1.0,0.0,0.0
0.5,-0.3333333333333333,0.14285714285714285,0.0
0.0,-1.0,0.0,0.0
-1.0,1.0,0.0,0.0
-0.3333333333333333,-1.0,0.5,-1.0
-0.5,0.0,0.14285714285714285,-1.0
0.3333333333333333,-0.3333333333333333,0.5,-1.0
-1.0,-1.0,1.0,-1.0
-0.2,0.2,-0.2,0.2
1.0,1.0,-1.0,1.0
0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0
0.1111111111111111,-0.1111111111111111,-0.125,1.0
-0.2,-0.6,0.25,-1.0
-1.0,0.5,0.0,0.0
0.5,0.5,0.0,0.0
1.0,-1.0,1.0,-1.0
-1.0,1.0,-1.0,1.0
0.0,1.0,0.3333333333333333,0.0
1.0,-1.0,1.0,-1.0
0.3333333333333333,-0.3333333333333333,1.0,0.3333333333333333
0.0,0.0,0.0,0.0
-1.0,-1.0,0.0,0.0
0.0,1.0,-1.0,1.0
1.0,0.0,0.0,0.0
0.0,0.75,-0.3333333333333333,1.0
-1.0,-1.0,0.0,0.0
-0.6,0.2,-0.42857142857142855,1.0
0.0,0.0,0.0,0.0
-1.0,1.0,-1.0,1.0
0.0,-1.0,1.0,-0.3333333333333333
1.0,1.0,0.0,0.0
0.3333333333333333,-1.0,0.0,0.0
1.0,0.0,0.0,0.0
-0.5,0.0,-0.14285714285714285,1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.3333333333333333,0.3333333333333333,0.0,0.0
-0.3333333333333333,0.3333333333333333,0.0,0.0
1.0,-1.0,1.0,-1.0
-1.0,1.0,0.0,0.0
-1.0,-1.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
0.3333333333333333,0.3333333333333333,-1.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.0,-1.0,1.0,-1.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-1.0,1.0,-1.0,1.0
0.0,0.0,0.0,0.0
